,Unnamed: 0,AgriDemand,CommercialDemand,Conflict,Country,CurrentHVLineDist,CurrentMVLineDist,EducationDemand,ElecPop,ElectrificationOrder,Elevation,GHI,GridCellArea,HealthDemand,Hydropower,HydropowerDist,HydropowerFID,IsUrban,LandCover,NightLights,PerCapitaDemand,PlannedHVLineDist,PlannedMVLineDist,Pop,ResidentialDemandTier1,ResidentialDemandTier2,ResidentialDemandTier3,ResidentialDemandTier4,ResidentialDemandTier5,ResidentialDemandTierCustom,RoadDist,Slope,SubstationDist,TransformerDist,TravelHours,WindVel,X_deg,Y_deg,id,Admin1,GDP,Cat_1,Cat_2,Cat_3,Unc,Prim,Sec,GridPenalty,WindCF,PopStartYear,ElecPopCalib,Pop2025,Pop2030,Pop2020,ElecStart,GridDistCalibElec,FinalElecCode2020,Commercial_Multiplier,MiniGridLCOE,PVCapacity,DieselCapacity,BatteryCapacity,NPC
19268,19289,0,0,0,Sierra Leone,130.816,2.894,0.0,0.0,0,30.04779,1788.94854,0.197,0.0,1083.23,2.42781,130,0,2,0.0,0,62.963,2.894,916.50728,8.0625,45.62499999999999,167.29166666666663,441.0416666666666,623.5416666666666,91.5,2.735,0.52796,168.919,9999,1.48048,2.9525,-11.96665,7.65466,19311,Southern,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1180710378266303,0.0063292263490664,1136.1406534060316,0.0,1198.3482432716712,1263.961911623536,1136.1406534060316,0,2.894,99,0.4125,0.28,78.4,30.6,131.3,429556
19451,19472,0,0,0,Sierra Leone,0.0,0.0,3540.4999999999995,8331.527434285714,0,133.0,1860.5,2.495,2920.0,369.768,1.40213,90,2,8,1.5875017642974854,0,0.0,0.0,9720.11534,8.0625,45.62499999999999,167.29166666666663,441.0416666666666,623.5416666666666,32.630001831054685,0.0,1.56236,3.148,9999,0.96667,2.41034,-11.74995,9.04712,19496,Northern,1.3,2.0,0.0,0.0,0.0,1.0,1.0,1.1180710378266303,0.0013534971571623,12049.460418437257,9798.770895707235,14051.232358187855,16385.557853004004,12049.460418437257,1,0.0,1,0.4612499999999999,0.279,903.8,361.8,915.4,4315454
20539,20562,0,0,0,Sierra Leone,206.399,18.088,0.0,0.0,0,26.0,1738.0,0.061,0.0,1426.14,1.49298,119,0,2,0.0,0,17.638,18.088,847.95769,8.0625,45.62499999999999,167.29166666666663,441.0416666666666,623.5416666666666,91.5,3.234,0.59604,239.143,9999,2.05,2.72086,-11.55738,7.13811,20584,Southern,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1180710378266303,0.0036022510501263,1051.1637223190078,0.0,1108.7185343254496,1169.4246693035298,1051.1637223190078,0,18.088,99,0.375,0.259,82.9,29.9,62.5,352390
19325,19346,0,0,0,Sierra Leone,137.373,8.011,0.0,0.0,0,18.67059,1735.03777,0.243,0.0,477.818,12.19337,16,0,2,0.0,0,77.943,8.011,826.03953,8.0625,45.62499999999999,167.29166666666663,441.0416666666666,623.5416666666666,91.5,3.533,0.5466,169.56,9999,2.49637,2.73199,-12.1297,7.4393,19368,Southern,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1180710378266303,0.0037112906707542,1023.9930569383052,0.0,1080.060182008,1139.1971740970864,1023.9930569383052,0,8.011,99,0.375,0.28,70.7,27.6,118.3,387181
18266,18284,0,0,0,Sierra Leone,31.268,15.385,0.0,0.0,0,57.52178,1878.0,0.164,0.0,262.447,5.77754,88,0,8,0.0,0,31.268,15.385,872.91505,8.0625,45.62499999999999,167.29166666666663,441.0416666666666,623.5416666666666,91.5,0.0,0.5453,82.166,9999,1.71588,3.18261,-12.67144,8.9604,18308,Northern,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.081157163930403,0.0100546274293952,1082.101906790046,0.0,1141.350690299921,1203.8435475198346,1082.101906790046,0,15.385,99,0.4125,0.277,82.8,32.1,79.7,385427
18274,18292,0,0,0,Sierra Leone,47.64,11.979,0.0,0.0,0,10.1468,1878.31683,0.327,1460.0,614.725,11.55283,83,0,2,0.0,0,47.64,11.979,2729.20377,8.0625,45.62499999999999,167.29166666666663,441.0416666666666,623.5416666666666,7.400000095367432,3.613,0.58461,59.524,9999,1.82998,2.78628,-12.97141,8.95179,18316,Northern,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.1180710378266303,0.0042740353659407,3383.2348331439384,0.0,3568.478521316189,3763.864935518419,3383.2348331439384,0,11.979,99,0.4125,0.27,259.3,99.1,229.5,1175305
18592,18610,0,0,0,Sierra Leone,92.019,3.268,0.0,0.0,0,358.40428,1896.89691,0.448,1460.0,2269.91,13.53712,152,0,8,0.0,0,11.092,3.268,1065.50745,8.0625,45.62499999999999,167.29166666666663,441.0416666666666,623.5416666666666,125.14000244140624,0.0,0.75174,92.121,9999,0.03817,2.73892,-10.99809,8.65339,18634,Eastern,1.4,1.0,0.0,0.0,0.0,0.0,0.0,1.081157163930403,0.0037802606925306,1320.8474791951403,0.0,1393.1684000375624,1469.449138855852,1320.8474791951403,0,3.268,99,0.4649999999999999,0.256,80.9,39.4,87.4,432036
7789,7794,0,0,0,Sierra Leone,27.54,2.088,0.0,0.0,0,94.1446,1878.0,0.165,1460.0,157.329,8.7557,72,0,14,0.0,0,12.38,2.088,1670.25897,8.0625,45.62499999999999,167.29166666666663,441.0416666666666,623.5416666666666,7.400000095367432,0.0,0.56649,49.379,9999,0.56546,2.31921,-11.92085,8.66915,7790,Northern,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.141803222449539,0.0009492397986698,2070.522688628382,0.0,2183.890893379757,2303.466395408838,2070.522688628382,0,2.088,99,0.4499999999999999,0.287,168.4,54.8,171.6,765631
9634,9639,0,0,0,Sierra Leone,26.457,0.0,0.0,0.0,0,81.51047,1853.1655,0.165,0.0,6353.02,13.11818,148,0,8,0.0,0,26.457,0.0,959.51018,8.0625,45.62499999999999,167.29166666666663,441.0416666666666,623.5416666666666,49.45000076293945,0.0,0.57761,81.99,9999,1.13885,3.0743,-12.17632,8.48146,9637,Northern,1.5,0.0,0.0,0.0,0.0,0.0,0.0,1.081157163930403,0.0081696515446401,1189.4488419720342,0.0,1254.5752376394491,1323.2675264020197,1189.4488419720342,0,0.0,99,0.43125,0.283,95.3,35.5,90.7,433876
5963,5968,0,0,0,Sierra Leone,41.825,14.251,0.0,0.0,0,2.2056,1881.7944,0.199,0.0,1289.29,8.48709,157,0,11,0.0,0,41.825,14.251,1070.29225,8.0625,45.62499999999999,167.29166666666663,441.0416666666666,623.5416666666666,91.5,7.333,0.51524,41.762,9999,1.68676,3.22934,-13.09214,8.83376,5964,Northern,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0576999264152729,0.0109417751038334,1326.778916857498,0.0,1399.4246042156744,1476.0478916281552,1326.778916857498,0,14.251,99,0.4125,0.282,87.3,30.4,167.1,506114
